Include;notes_screening1;Notes;Citationkey;Author;Title;Publication Year;method_automated_measurement;method_visualization;method_automated_generation;method_agent;method_AutoQUEST;method_machine_learning;methodology;Usability dimension;Baseline;Sample Size;Notes;XR Technology;Measurement;dimension_general_usability;dimension_generalUX;dimension_presence;dimension_flow;dimension_interactability;dimension_learnability;dimension_emotions;dimension_usability_smells;dimension_stress;dimension_anxiety;dimension_ease_of_use;dimension_attention;dimension_UI;dimension_behaviour;dimension_comfort;dimension_cognitive_load;dimension_engagement;dimension_area_of_interest;dimension_realism;dimension_sentiment;dimension_physiological_arousal;dimension_physical_effort;measurement_none;measurement_heart_rate;measurement_decision_time;measurement_hand_movement;measurement_head_movement;measurement_facial_expression;measurement_scene_capture;measurement_events;measurement_EEG;measurement_EDA;measurement_EMG;measurement_body_temperature;measurement_speech;measurement_walking_speed;measurement_gaze;measurement_pupil;measurement_body_tracking;measurement_movement;measurement_respiration;measurement_pressure_load;control_measurement;control_dimension
include;Automatisierung nachlesen;head movement;seffahLowcostTestEnvironment2008;"Seffah, Ahmed; Benn, Jonathan; Mammar, Halima Habieb";A low-cost test environment for usability studies of head-mounted virtual reality systems;2008;x;;;;;;Navigation and viewpoint control interaction;Interaction/ lernability;;2;;VR;Head Movement;;;;;x;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;1;2
include;heart rate skelett;viel measurement aber primär für das exoskelett und wenig für usability;sreenivasanExoskeletonAssistedStanceKneeling2025;"Sreenivasan, G.; Zhu, C.; Yi, J.";Exoskeleton-Assisted Stance and Kneeling Balance and Work Task Evaluation in Construction;2025;x;;;;;;"Heart Rate als einziger ""usability"" factor";psychological stress;Questionnaire aber ohne große korrelation tests;11;;VR;Heart Rate Center of mass, center of preassure, ground reaction forces;;;;;;;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;1;1
include;Automatisierung nachlesen;Viele Ideen und analysen auf ML basis aber keine richtige beschriebene User study;sriRevolutionizingUserExperience2024;"Sri, Bande Bhavya; Amulya, Kadamati Dharani Naga Sai; Pallapothu, Beulah; Rao, M.V.L.N. Raja; P, Siva Satya Sreedhar; Abirami, A.";Revolutionizing User Experience for Product Quality Evaluation using AR/VR and NLP;2024;;;;;;x;NLP für textual comments and satisfaction in surveys, Clustering of similar User Patterns, no mention of measurements only data set for training;sentiments, interaction patterns;;no study;;AR, VR;questionnaires, comments, interactions;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;x;;;;;x;;;;;;;;2;2
include;Automatisierung nachlesen;external AR app for evaluators als Prototyp, keine User Study nur motivational scenario;stefanidiARgusDesignerSupporting2022;"Stefanidi, Helen; Leonidis, Asterios; Korozi, Maria; Papagiannakis, George";The ARgus Designer: Supporting experts while conducting user studies of AR/MR applications;2022;x;;;;;;AR App for Evaluators that can be used to enhance studies provides speech to text as speech bubble, bio marker and gesstures  of nearby participants, no other automation than dispolaying the data;general UX, stress level, emotion;;no study;;AR;STT, stress level, emotion, heart rate, recognised gesture interaction;;x;;;;;x;;x;;;;;;;;;;;;;;;x;;;;x;;x;;;;;x;;;;;;;;4;3
include;physiological factors;Electrodermal activity;volonteEffectsInteractingCrowd2020;"Volonte, M.; Hsu, Y.-C.; Liu, K.-Y.; Mazer, J.P.; Wong, S.-K.; Babu, S.V.";Effects of Interacting with a Crowd of Emotional Virtual Humans on Users' Affective and Non-Verbal Behaviors;2020;x;;;;;;Empatica E4 wrist Sensor, Electrodermal activity(EDA) through normalized Skin Conductance Levels (SCL) data for periods of two minutes, HMD Orientation;behavioral impact between the different emotional virtual humans crowd, visual attention during conversation;Questionnaire comparison;60;;VR;Electrodermal activity, Average Head Bias in Polar Angle with NPCs;;;;;;;;;;;;x;;x;;;;;;;;;;;;;x;;;;;x;;;;;;;;;;;2;2
include;Usability Evaluation nachlesen;pupil, eye, head tracking;wangNewMirror2019;"Wang, B.; Moleta, T.J.; Schnabel, M.A.";The new mirror;2019;x;x;;;;;logs and analysis/visualisation scripts;Flow graphs, heatmaps, mental workload, challenge and skill as measure of flow as well as stress;;not mentioned;;VR;eye and pupil data Pupil Diameter, Pupil Hippus, head movement and movement data;;;;x;;;;;x;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;x;;x;;;3;2
include;physiological factors;;winterImmersiveVirtualReality2021;"Winter, Carla; Kern, Florian; Gall, Dominik; Latoschik, Marc Erich; Pauli, Paul; Käthner, Ivo";Immersive virtual reality during gait rehabilitation increases walking speed and motivation: a usability evaluation with healthy participants and patients with multiple sclerosis and stroke;2021;x;;;;;;Heart Rate gemessen aber nicht in Bezug zur Usability gesetzt, Walking speed nur als effectiveness variable for rehabilitation and distractions for participants;anxiety or stress through increased heart rate;viele questionnaires;36 und 14;36 und 14, VR (semi und full immersive VR);VR;heart rate und walking speed;;;;;;;;;x;x;;;;;;;;;;;;;;x;;;;;;;;;;;;x;;;;;;;2;2
include;Automatisierung nachlesen;Custom Build Glove for MR but Displayed on see through monitor;yangUvmodeUsabilityVerification2008;"Yang, Ungyeon; Jo, Dongsik; Son, Wooho";Uvmode: usability verification mixed reality system for mobile devices;2008;x;;;;;;A custom built glove  interface, equipped with pressure and EMG  (electromyography) sensors, is used for measuring the  hand load. Pressure values are collected from the  sensors attached on each finger and palm, and the  muscle tension of the user’s forearm is measured with  an EMG sensor.;hand load, muscle tension, hand and head;;not mentioned;;MR;EMG, pressure;x;;;;;;;;;;;;;;;;;;;;;x;;;;x;x;;;;;;x;;;;;;;;;x;4;2
;;;;;;;;;;;;;;;;;;;;general_usability;generalUX;presence;flow;interactability;learnability;emotions;usability_smells;stress;anxiety;ease_of_use;attention;UI;behaviour;comfort;cognitive_load;engagement;area_of_interest;realism;sentiment;physiological_arousal;physical_effort;none;heart_rate;decision_time;hand_movement;head_movement;facial_expression;scene_capture;events;EEG;EDA;EMG;body_temperature;speech;walking_speed;gaze;pupil;body_tracking;movement;respiration;pressure_load;;
;;;;;;;;;;;;;;;;;;;;6;5;7;3;1;4;5;2;5;2;1;6;2;3;1;2;2;3;2;1;2;4;3;12;1;7;13;3;1;6;6;5;2;1;5;1;7;2;3;2;1;2;;
